,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA,CITY_STATE
1193,2560.0,601.0,2018.0,1290.0,0.55,-41.97685112,-9.008074943,53094.56,5650.76,Dom Inocêncio - PI
1194,1334.0,907.0,2919.0,1714.0,0.622,-43.261348,-18.96455019,43218.61,9377.0,Dom Joaquim - MG
1195,1182.0,579.0,1761.0,1116.0,0.632,-39.18809417,-12.91148926,31596.42,7521.17,Dom Macedo Costa - BA
1196,13141.0,11818.0,35039.0,21870.0,0.708,-54.67413018,-30.98126706,1171903.18,29405.65,Dom Pedrito - RS
1197,6219.0,4270.0,15243.0,9289.0,0.622,-44.44000991,-5.038447635,217058.73,9479.79,Dom Pedro - MA
1198,1707.0,1333.0,4023.0,2516.0,0.71,-42.97087297,-20.16220493,79463.07,14855.69,Dom Silvério - MG
1199,972.0,327.0,997.0,648.0,0.687,-45.15916867,-22.25367411,29894.55,9728.13,Dom Viçoso - MG
1200,9760.0,2584.0,7709.0,5270.0,0.669,-40.65939635,-20.36423852,688611.74,19908.4,Domingos Martins - ES
1201,1106.0,284.0,958.0,622.0,0.55,-41.27188145,-4.253433634,30402.33,7090.1,Domingos Mourão - PI
1202,1123.0,586.0,1868.0,1187.0,0.742,-49.71689775,-26.98630061,88074.95,21806.13,Dona Emma - SC
1203,1896.0,1628.0,5105.0,3355.0,0.701,-42.80693406,-21.3238747,73.49,11335.54,Dona Eusébia - MG
1204,1117.0,740.0,2143.0,1362.0,0.7,-53.36233318,-29.62485249,66.52,19846.11,Dona Francisca - RS
1205,2960.0,1413.0,4634.0,2578.0,0.545,-35.62254065,-6.602122735,77519.04,7440.16,Dona Inês - PB
1206,495.0,388.0,1131.0,754.0,0.69,-45.90519689,-20.28845096,54486.03,35705.13,Doresópolis - MG
1207,4655.0,1857.0,6002.0,3710.0,0.589,-40.77073581,-8.448656987,197315.16,10659.92,Dormentes - PE
1208,2394.0,1699.0,5209.0,3434.0,0.72,-53.29644866,-23.38190722,491037.97,58912.77,Douradina - PR
1209,1376.0,1073.0,3268.0,2139.0,0.7,-54.60793067,-22.04553028,114882.42,19893.06,Douradina - MS
1210,2838.0,2602.0,7834.0,5145.0,0.738,-48.31623581,-22.1131672,699914.64,78615.59,Dourado - SP
1211,59438.0,56667.0,178212.0,119657.0,0.747,-54.81128912,-22.22723554,7826.59,36320.62,Dourados - MS
1212,2017.0,1768.0,5107.0,3289.0,0.746,-52.2227215,-23.55590133,151643.72,25031.98,Doutor Camargo - PR
1213,1892.0,949.0,2619.0,1625.0,0.706,-54.35826799,-27.50921261,186166.76,36120.83,Doutor Maurício Cardoso - RS
1214,1105.0,653.0,2019.0,1322.0,0.716,-49.47929336,-26.72046096,98747.81,24748.82,Doutor Pedrinho - SC
1215,643.0,225.0,683.0,425.0,0.72,-51.98490439,-29.09903106,58931.05,28414.2,Doutor Ricardo - RS
1216,1778.0,778.0,2776.0,1734.0,0.621,-38.37368308,-6.093687371,50420.63,7015.53,Doutor Severiano - RN
1217,1687.0,277.0,928.0,594.0,0.546,-49.4197718,-24.56783645,66737.87,11518.45,Doutor Ulysses - PR
1218,2701.0,1699.0,4905.0,3157.0,0.67,-52.31398042,-16.72103706,208817.81,26788.69,Doverlândia - GO
1219,14266.0,13535.0,39486.0,25924.0,0.78,-51.53404966,-21.48613754,1121.15,24326.29,Dracena - SP
1220,4031.0,3615.0,10947.0,7092.0,0.748,-49.40504541,-22.41488138,215271.76,17142.2,Duartina - SP
1221,3556.0,2519.0,7712.0,5095.0,0.659,-42.51509763,-22.05890609,233814.62,20979.33,Duas Barras - RJ
1222,1079.0,863.0,2833.0,1615.0,0.603,-35.4181768,-6.688132955,36.31,10069.73,Duas Estradas - PB
1223,1459.0,916.0,3042.0,1854.0,0.679,-49.26587592,-11.34128542,125622.77,26586.83,Dueré - TO
1224,2385.0,2297.0,7851.0,5325.0,0.74,-47.97084345,-21.233326,235049.63,25206.39,Dumont - SP
1225,2387.0,1269.0,5340.0,2981.0,0.53,-42.9441802,-4.147819097,64393.65,5776.25,Duque Bacelar - MA
1226,2192.0,1129.0,3546.0,2193.0,0.645,-41.79426165,-20.20723888,100203.13,12761.48,Durandé - MG
1227,2026.0,1618.0,5020.0,3149.0,0.745,-50.20700615,-22.424997,128877.39,20518.61,Echaporã - SP
