,T_min,Freq,RelCost,Dist,CITY_STATE_A,CITY_STATE_B
10692,220,7.0,0.156818181818182,98.03129586891252,Bento Gonçalves - RS,Ciríaco - RS
10693,110,13.0,0.156818181818182,74.45470269574884,Muitos Capões - RS,Sananduva - RS
10694,110,35.0,0.156818181818182,68.13658639571563,Passo Fundo - RS,Sananduva - RS
10695,1500,7.0,0.15682,1277.3943000373388,Tucuruí - PA,Rialma - GO
10696,2400,3.0,0.156820833333333,1219.8398902785373,Ibirubá - RS,Rio Verde - GO
10697,325,7.0,0.156830769230769,182.3454652937522,Palmas - PR,Papanduva - SC
10698,650,13.0,0.156830769230769,454.1285228799181,Costa Rica - MS,Cuiabá - MT
10699,2395,14.0,0.156830897703549,1560.042557027742,Santa Maria - RS,Anápolis - GO
10700,1320,3.0,0.156833333333333,1205.3997786645418,Campos Sales - CE,Formosa - GO
10701,2970,14.0,0.156841750841751,1684.5077631629792,Santarém - PA,Goiânia - GO
10702,285,3.0,0.156842105263158,190.44852429832622,Quitandinha - PR,Curitibanos - SC
10703,545,3.0,0.156844036697248,336.27800478701437,Floriano - PI,Independência - CE
10704,420,14.0,0.156857142857143,189.19633689346867,Loanda - PR,Dourados - MS
10705,105,130.0,0.156857142857143,77.11776472782692,Chapecó - SC,Ronda Alta - RS
10706,2460,2.0,0.156857723577236,1981.0023191940272,Piripiri - PI,Ribeirão Preto - SP
10707,2550,1.0,0.156858823529412,1991.783404640807,Quipapá - PE,Osasco - SP
10708,430,1.0,0.156860465116279,164.7949356959709,São Luiz Gonzaga - RS,Tenente Portela - RS
10709,580,12.0,0.156862068965517,322.1826154214837,Francisco Beltrão - PR,Nova Bassano - RS
10710,510,14.0,0.156862745098039,199.62466203833833,Cândido Mendes - MA,São Luís - MA
10711,1020,28.0,0.156862745098039,714.5620514138152,Caxias - MA,Patos - PB
10712,510,21.0,0.156862745098039,302.0812148681611,Itapecuru Mirim - MA,Piripiri - PI
10713,1020,24.0,0.156862745098039,767.4633283314326,Água Branca - PI,Luís Eduardo Magalhães - BA
10714,1020,7.0,0.156862745098039,637.492402096508,Inhapi - AL,Itabuna - BA
10715,1020,28.0,0.156862745098039,667.5662044388896,Caetité - BA,Belo Horizonte - MG
10716,1020,18.0,0.156862745098039,886.2661894359688,Caetité - BA,Franca - SP
10717,510,3.0,0.156862745098039,413.2280713331568,Jacobina - BA,Serra Dourada - BA
10718,485,1.0,0.156865979381443,219.71454717426593,Mundo Novo - BA,Teolândia - BA
10719,480,4.0,0.156875,321.8195155011542,Eunápolis - BA,Presidente Tancredo Neves - BA
10720,240,12.0,0.156875,112.01220511039321,Xanxerê - SC,Getúlio Vargas - RS
10721,80,28.0,0.156875,48.47577266144365,Ouro Fino - MG,Itapira - SP
10722,160,14.0,0.156875,103.36632983520983,Ibiaçá - RS,Vacaria - RS
10723,590,25.0,0.156881355932203,372.8133666312365,Itapema - SC,Garibaldi - RS
10724,540,2.0,0.156888888888889,328.23631641802723,Ubiratã - PR,Seberi - RS
10725,1740,7.0,0.156896551724138,1183.1527396639083,Brumado - BA,Santos - SP
10726,1270,27.0,0.156905511811024,758.2854500934017,Florianópolis - SC,Naviraí - MS
10727,975,28.0,0.156923076923077,795.1846947972848,Belém - PA,Campo Maior - PI
10728,650,14.0,0.156923076923077,345.774811308976,Rio Maria - PA,Imperatriz - MA
10729,260,14.0,0.156923076923077,156.82236151170562,Salvador - BA,Sátiro Dias - BA
10730,130,44.0,0.156923076923077,76.99196333868535,Marechal Floriano - ES,Muniz Freire - ES
10731,1685,21.0,0.156925816023739,1249.8773629464322,Porto Velho - RO,Jaciara - MT
10732,540,7.0,0.156925925925926,263.1724821556244,Crixás - GO,Brasília - DF
10733,600,46.0,0.156933333333333,315.85975373471143,Medianeira - PR,Sarandi - RS
10734,520,5.0,0.156942307692308,314.82188400041383,Ubiratã - PR,Frederico Westphalen - RS
10735,216,15.0,0.156944444444444,173.03359378646206,Boa Viagem - CE,Sobral - CE
10736,720,6.0,0.156944444444444,433.36393216919913,Belo Jardim - PE,Araci - BA
10737,230,238.0,0.15695652173913,236.5236588597442,Bacabal - MA,Timon - MA
10738,930,59.0,0.156967741935484,614.7089562240864,Presidente Prudente - SP,Frederico Westphalen - RS
10739,165,273.0,0.156969696969697,151.0301542485086,Currais Novos - RN,Natal - RN
10740,165,18.0,0.156969696969697,274.7058038131097,Rondinha - RS,São Leopoldo - RS
10741,360,49.0,0.156972222222222,181.52185836041977,Governador Nunes Freire - MA,São Luís - MA
10742,720,1.0,0.156972222222222,486.94416404296055,Mucuri - BA,Wenceslau Guimarães - BA
10743,295,14.0,0.156983050847458,163.86534899156408,Fronteira - MG,Araçatuba - SP
10744,685,14.0,0.156992700729927,309.47243039004104,Assis Chateaubriand - PR,Iraí - RS
